Name;Sex;Equipment;Age;AgeClass;Division;Bodyweight;Weight_Class;Squat1;Squat2;Squat3;Best_Squat;Bench1;Bench2;Bench3;Best_Bench;Deadlift1;Deadlift2;Deadlift3;Best_Deadlift;Total_Kg;Place;Dots;Country
Konrad Schultz;M;Raw;17;16-17;Teen 16-17;94;100;0;0;0;0;0;0;0;0;190;195;215;215;215;1;136.10;Poland
Szymon Gehrke;M;Raw;41;40-44;Masters 40-49;65.7;67.5;1;0;0;0;85;92.5;-100;92.5;0;0;0;0;92.5;1;72.72;Poland
Kacper K³os;M;Raw;22;20-23;Juniors 20-23;103;110;130;0;0;0;160;170;-180;170;0;0;0;0;170;1;103.34;Poland
Szymon Pacholek;M;Wraps;25;24-34;Open;99.3;100;250;260;-270;260;150;155;-160;155;270;-280;-285;270;685;3;422.92;Poland
Pawe³ Gêbusia;M;Raw;32;24-34;Paralympic;83.7;90;0;0;0;;-70;70;-75;70;0;0;0;0;70;1;47.03;Poland
Pawe³ Gêbusia;M;Raw;32;24-34;Paralympic;83.7;90;0;0;0;0;0;0;0;0;170;-190;-190;170;170;1;114.23;Poland
Bartosz Szymaszko;M;Raw;20;20-23;Juniors 20-23;82.4;82.5;0;0;0;0;0;0;0;0;220;230;-235;230;230;1;155.91;Poland
Krzysztof Bajera;M;Wraps;33;24-34;Open;106.8;110;240;250;260;260;175;180;185;185;260;280;-305;280;725;4;434.30;Poland
Wojciech Szerszniew;M;Wraps;42;40-44;Masters 40-49;82.2;82.5;170;185;197.5;197.5;120;127.5;132.5;132.5;190;210;-217.5;210;540;1;366.55;Poland
Mariusz Przybylski;M;Raw;32;24-34;Open;99.4;100;0;0;0;0;-155;160;165;165;0;0;0;0;165;5;101.83;Poland
Mariusz Przybylski;M;Raw;32;24-34;MPF;99.4;100;0;0;0;0;-155;160;165;165;0;0;0;0;165;5;101.83;Poland
Pawel Szudejko;M;Raw;28;24-34;Open;80;82.5;0;0;0;0;160;-167.5;167.5;167.5;0;0;0;0;167.5;3;115.50;Poland
Patryk Duraj;M;Wraps;27;24-34;Open;75.6;82.5;190;210;-220;210;150;155;-157.5;155;200;220;-230;220;585;2;417.57;Poland
Peter Seger;M;Raw;52;50-54;Open;118.8;125;0;0;0;0;0;0;0;0;280;295;312.5;312.5;312.5;2;180.08;Sweden
Peter Seger;M;Raw;52;50-54;Masters 50-59;118.8;125;0;0;0;0;0;0;0;0;280;295;312.5;312.5;312.5;2;180.08;Sweden
Robert Pastuszka;M;Raw;49;45-49;Masters 40-49;110;110;0;0;0;0;160;170;180;180;0;0;0;0;180;2;106.61;Poland
£ukasz Waszczuk;M;Unlimited;32;24-34;Open;89.5;90;0;0;0;0;-170;170;190;190;0;0;0;0;190;3;123.20;Poland
£ukasz Waszczuk;M;Raw;32;24-34;MPF;89.5;90;0;0;0;0;165;-175;175;175;0;0;0;0;175;4;113.47;Poland
£ukasz Waszczuk;M;Raw;32;24-34;Open;89.5;90;0;0;0;0;165;-175;175;175;0;0;0;0;175;7;113.47;Poland
£ukasz Waszczuk;M;Unlimited;32;24-34;MPF;89.5;90;0;0;0;0;-170;170;190;190;0;0;0;0;190;1;123.20;Poland
Mateusz Urban;M;Wraps;23;20-23;Open;72.5;75;140;150;-160;150;90;105;107.5;107.5;160;-190;-190;160;417.5;5;306.22;Poland
Tomasz Mantur;M;Raw;46;45-49;Masters 40-49;80.8;82.5;0;0;0;0;150;155;157.5;157.5;0;0;0;0;157.5;2;107.97;Poland
Tomasz Mantur;M;Raw;46;45-49;MPF Masters 40-49;80.8;82.5;0;0;0;0;150;155;157.5;157.5;0;0;0;0;157.5;2;107.97;Poland
Bartosz Nikiel;M;Wraps;20;20-23;Juniors 20-23;122.1;125;210;-225;-225;210;110;120;-125;120;210;230;-250;230;560;1;319.78;Poland
Jakub Czech;M;Wraps;20;20-23;Juniors 20-23;85;90;-185;190;-210;190;125;-135;-135;125;210;227.5;240;240;555;3;369.77;Poland
Sarita Bishwokarma;F;Wraps;25;24-34;Open;43;44;30;32.5;35;35;0;0;0;0;0;0;0;0;35;1;49.07;Poland
Sarita Bishwokarma;F;Raw;25;24-34;Open;43;44;0;0;0;0;25;-27.5;-27.5;25;0;0;0;0;25;1;35.05;Poland
Sarita Bishwokarma;F;Raw;25;24-34;Open;43;44;0;0;0;0;0;0;0;0;30;32.5;35;35;35;1;49.07;Poland
Paula Wasilewska;F;Wraps;22;20-23;Juniors 20-23;51.1;52;-90;-90;90;90;-55;55;57.5;57.5;105;110;115;115;262.5;1;323.89;Poland
Szymon Obrochta;M;Wraps;29;24-34;Open;108.7;110;255;265;-272.5;265;175;182.5;190;190;260;280;287.5;287.5;742.5;3;441.75;Poland
Patryk Wysocki;M;Wraps;25;24-34;Open;72.7;75;190;200;210;210;120;130;-135;130;200;-215;217.5;217.5;557.5;3;408.16;Poland
Adam Wado³owski;M;Raw;23;20-23;Juniors 20-23;114.7;125;192.5;0;0;0;202.5;205;-210;205;0;0;0;0;205;1;119.57;Poland
Piotr Lalezko;M;Raw;22;20-23;Juniors 20-23;111.2;125;0;0;0;0;-177.5;177.5;187.5;187.5;0;0;0;0;187.5;2;110.60;Poland
Krystian Ziêba;M;Raw;27;24-34;Open;88.5;90;0;0;0;0;175;182.5;187.5;187.5;0;0;0;0;187.5;4;122.28;Poland
Adam Stankiewicz;M;Wraps;41;40-44;Masters 40-49;95.6;100;230;245;260;260;140;150;160;160;230;250;0;250;670;1;420.78;Poland
Adam Chaberko;M;Raw;32;24-34;Open;87.8;90;0;0;0;0;0;0;0;0;220;-240;240;240;240;3;157.16;Poland
Bartosz Wulbach;M;Wraps;28;24-34;Open;90;90;225;232.5;-245;232.5;130;-137.5;137.5;137.5;250;-260;267.5;267.5;637.5;4;412.21;Poland
Igors Smirnovs;M;Wraps;32;24-34;Open;99.7;100;260;-270;-270;260;195;-205;205;205;295;302.5;-305;302.5;767.5;1;473.02;Sweden
Klaudia Witek;F;Raw;22;20-23;Juniors 20-23;55.8;56;0;0;0;0;-50;-52.5;52.5;52.5;0;0;0;0;52.5;2;61.00;Poland
